customer_id,country,city_cluster,age_group,user_tenure_months,marketing_opt_in,pdpa_contact_ok,rides_30d,food_orders_30d,mart_orders_30d,grabpay_txns_30d,finance_products_count,insurance_products_count,ad_clicks_30d,services_used_count,service_diversity_index,primary_service,superapp_segment,promo_response_rate,weekly_active_days,recency_days,association_strength_score,next_best_service,cross_sell_propensity,churn_risk_score,churn_30d_label,trust_score,monthly_gmv_usd,clv_12m_usd,customer_value_tier,priority_support_flag,rush_hour_share,late_night_share,low_supply_zone_share,tourist_or_new_city_flag,assigned_driver_tier,driver_cancel_rate_seen,avg_eta_promised_min,avg_eta_actual_min,eta_gap_min,failed_booking_rate_90d,complaint_count_90d,refund_delay_days_avg,booking_risk_score,bad_booking_label,auto_reassignment_rate,price_sensitivity_segment,avg_base_fare_usd,avg_surge_multiplier,avg_effective_fare_usd,extreme_surge_exposure_rate,waiting_fee_count_90d,abnormal_charge_flags_90d,proactive_refund_rate,price_elasticity_score,fare_fairness_score,surge_cap_recommendation,recommended_action
GRB100001,Philippines,Cebu,18-24,25,1,1,11,3,0,4,1,0,0,4,0.72,Mobility,Ride Specialist,0.31,3.6,8,0.33,Food,54.7,21.3,0,87.3,99.04,853.47,Low-Value,1,0.47,0.24,0.37,0,Average,0.16,9.7,15.4,5.7,0.16,5,4.0,52.9,0,0.09,Highly Sensitive,3.61,1.38,5.53,0.19,2,1,0.14,-1.53,68.5,1.5,Surge cap + fare explanation
GRB100002,Indonesia,Bandung,45-54,19,1,1,21,0,1,7,1,0,2,4,0.65,Mobility,Ride Specialist,0.27,5.5,18,0.35,Food,43.7,25.4,0,75.5,143.41,1221.01,Mid-Value,1,0.44,0.39,0.44,0,Average,0.14,10.2,14.9,4.7,0.23,2,2.4,66.4,1,0.3,Moderately Sensitive,2.98,1.35,5.27,0.22,5,2,0.14,-0.96,62.3,1.8,Monitor with standard nudges
GRB100003,Philippines,Davao,35-44,22,1,1,18,2,1,2,1,1,3,6,1.0,Mobility,Ride Specialist,0.27,4.3,20,0.39,Food,45.3,29.8,0,74.9,153.09,1318.03,Mid-Value,1,0.38,0.12,0.57,0,High-Risk,0.27,8.7,13.4,4.7,0.25,4,3.1,57.4,1,0.37,Moderately Sensitive,3.45,1.44,6.27,0.19,2,4,0.24,-1.1,62.8,1.8,Monitor with standard nudges
GRB100004,Vietnam,Ho Chi Minh City,18-24,23,1,1,0,19,4,2,1,1,3,5,0.84,Food,Food Specialist,0.23,4.7,25,0.29,Mobility,40.4,7.2,0,90.3,215.48,1860.66,High-Value,1,0.2,0.17,0.64,0,Average,0.11,9.6,14.2,4.6,0.15,2,1.2,48.2,0,0.08,Highly Sensitive,2.65,1.63,4.31,0.29,0,0,0.05,-1.59,76.5,1.5,Surge cap + fare explanation
GRB100005,Singapore,Singapore Fringe,18-24,15,1,1,7,7,2,1,0,0,9,4,0.62,Mobility,Promo Opportunist,0.65,3.9,6,0.28,GrabPay,45.3,2.3,0,88.9,152.28,1226.62,Mid-Value,1,0.25,0.42,0.31,0,Average,0.14,6.8,12.8,6.0,0.11,5,1.5,38.7,0,0.13,Moderately Sensitive,8.92,1.34,12.51,0.14,2,1,0.07,-1.14,71.1,1.8,Monitor with standard nudges
GRB100006,Myanmar,Mandalay,18-24,28,1,1,23,0,1,1,0,1,0,4,0.66,Mobility,Ride Specialist,0.29,6.4,21,0.35,Food,36.5,22.8,0,81.8,108.63,910.64,Low-Value,1,0.37,0.19,0.55,0,Average,0.15,7.2,11.4,4.2,0.2,4,2.0,58.3,1,0.17,Moderately Sensitive,2.48,1.35,4.3,0.1,3,2,0.11,-1.03,71.9,1.8,Monitor with standard nudges
GRB100007,Philippines,Metro Manila,55+,54,0,0,14,0,1,4,1,1,2,5,0.86,Mobility,Ride Specialist,0.13,3.3,6,0.43,Food,35.7,7.2,0,77.9,119.88,1251.71,Mid-Value,1,0.46,0.27,0.42,0,Average,0.17,9.1,14.3,5.2,0.15,2,2.2,43.9,0,0.1,Moderately Sensitive,4.01,1.25,6.12,0.12,4,2,0.11,-1.01,71.6,1.8,Monitor with standard nudges
GRB100008,Philippines,Cebu,25-34,2,1,1,5,1,0,28,2,1,2,5,0.81,GrabPay,Payments Ecosystem User,0.25,2.6,24,0.29,Mart,44.2,24.6,0,70.5,104.37,1116.81,Mid-Value,1,0.68,0.0,0.55,1,High-Risk,0.28,10.0,16.4,6.4,0.22,4,0.8,63.7,1,0.37,Moderately Sensitive,3.43,1.36,5.56,0.14,1,3,0.22,-1.02,75.9,1.8,Monitor with standard nudges
GRB100009,Singapore,Singapore Fringe,35-44,26,1,1,10,16,6,14,2,1,5,6,0.99,Food,Power User,0.2,7.0,12,0.64,Mart,61.1,1.0,0,93.9,338.3,2958.29,High-Value,1,0.41,0.16,0.17,0,Average,0.16,7.0,10.3,3.3,0.17,0,1.0,35.5,0,0.04,Moderately Sensitive,8.65,1.23,11.09,0.05,3,0,0.02,-0.8,80.3,1.8,Monitor with standard nudges
GRB100010,Indonesia,Bandung,35-44,14,1,1,4,9,2,1,1,1,5,6,0.99,Food,Food Specialist,0.38,3.2,9,0.36,Mobility,55.4,1.4,0,90.4,91.7,991.14,Mid-Value,1,0.6,0.0,0.52,1,Average,0.15,12.2,17.7,5.5,0.18,2,2.0,68.1,1,0.27,Moderately Sensitive,2.81,1.33,3.74,0.17,0,0,0.07,-1.12,78.8,1.8,Monitor with standard nudges
